Income_statement,Year,Amount
Sales and other operating revenue,2017-12-31,237162
Income from equity affiliates,2017-12-31,5380
Other income,2017-12-31,1821
Total revenues and other income,2017-12-31,244363
"Costs and other deductions
Crude oil and product purchases",2017-12-31,128217
Production and manufacturing expenses,2017-12-31,32690
"Selling, general and administrative expenses",2017-12-31,10649
Depreciation and depletion,2017-12-31,19893
"Exploration expenses, including dry holes",2017-12-31,1790
Non-service pension and postretirement benefit expense,2017-12-31,1745
Interest expense,2017-12-31,601
Other taxes and duties,2017-12-31,30104
Total costs and other deductions,2017-12-31,225689
Income before income taxes,2017-12-31,18674
Income taxes,2017-12-31,-1174
Net income including noncontrolling interests,2017-12-31,19848
Net income attributable to noncontrolling interests,2017-12-31,138
Net income attributable to ExxonMobil,2017-12-31,19710
