Income_statement,Year,Amount
Sales ,12/31/2019,200316
Excise taxes ,12/31/2019,-24067
Revenues from sales ,12/31/2019,176249
"Purchases, net of inventory variation ",12/31/2019,-116221
Other operating expenses ,12/31/2019,-27255
Exploration costs ,12/31/2019,-785
"Depreciation, depletion and impairment of tangible assets and mineral interests ",12/31/2019,-15731
Other income ,12/31/2019,1163
Other expense ,12/31/2019,-1192
Financial interest on debt,12/31/2019,-2333
Financial income and expense from cash & cash equivalents,12/31/2019,-19
Cost of net debt ,12/31/2019,-2352
Other financial income ,12/31/2019,792
Other financial expense ,12/31/2019,-764
Net income y affiliates (Note 8),12/31/2019,3406
Income taxes ,12/31/2019,-5872
CONSOLIDATED NET INCOME,12/31/2019,11438
TotalEnergies share,12/31/2019,11267
Non-controlling interests,12/31/2019,171
Earnings per share ,12/31/2019,4.2
Fully-diluted earnings per share ,12/31/2019,4.17
